Date,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,WHH,WHD,WHA
17/02/2024,Darmstadt,Stuttgart,A,6.5,4.75,1.44,7,4.6,1.4
17/02/2024,Heidenheim,Leverkusen,A,8,5.75,1.33,8,5.5,1.3
17/02/2024,Hoffenheim,Union Berlin,A,2,3.6,3.6,2,3.7,3.3
17/02/2024,Mainz,Augsburg,H,2,3.5,3.8,2,3.6,3.4
17/02/2024,Wolfsburg,Dortmund,D,3.2,3.8,2.1,3,3.8,2.1
17/02/2024,RB Leipzig,M'gladbach,H,1.36,5.5,7,1.33,5.5,7
18/02/2024,Freiburg,Ein Frankfurt,D,2.3,3.4,3.1,2.3,3.4,2.9
18/02/2024,Bochum,Bayern Munich,H,8,5.75,1.33,8,5.5,1.3
23/02/2024,Leverkusen,Mainz,H,1.22,6.5,13,1.18,6.5,13
24/02/2024,M'gladbach,Bochum,H,2,3.8,3.5,1.91,3.8,3.5
24/02/2024,Stuttgart,FC Koln,D,1.3,5.25,10,1.29,5.5,9
24/02/2024,Union Berlin,Heidenheim,D,2,3.5,3.75,1.91,3.5,3.7
24/02/2024,Werder Bremen,Darmstadt,D,1.65,4.2,5,1.6,4,5
24/02/2024,Bayern Munich,RB Leipzig,H,1.67,4.33,4.5,1.62,4.4,4.33
25/02/2024,Ein Frankfurt,Wolfsburg,D,2.25,3.4,3.2,2.15,3.5,3.1
25/02/2024,Dortmund,Hoffenheim,A,1.5,5,5.5,1.44,5,5.5
25/02/2024,Augsburg,Freiburg,H,2.2,3.6,3.1,2.2,3.6,2.9
01/03/2024,Freiburg,Bayern Munich,D,5.75,4.75,1.5,6,5,1.44
02/03/2024,Bochum,RB Leipzig,A,5,4.2,1.62,4.75,4.33,1.62
02/03/2024,Darmstadt,Augsburg,A,2.9,3.3,2.4,2.75,3.4,2.5
02/03/2024,Heidenheim,Ein Frankfurt,A,2.8,3.3,2.5,2.75,3.4,2.5
02/03/2024,Mainz,M'gladbach,D,1.91,3.75,3.75,1.91,3.75,3.7
02/03/2024,Union Berlin,Dortmund,A,3.4,3.6,2.05,3.3,3.7,2.05
02/03/2024,Wolfsburg,Stuttgart,A,3.3,3.5,2.15,3.2,3.7,2.1
03/03/2024,FC Koln,Leverkusen,A,9,4.75,1.36,9.5,5,1.33
03/03/2024,Hoffenheim,Werder Bremen,H,1.91,4,3.6,1.91,3.9,3.6
08/03/2024,Stuttgart,Union Berlin,H,1.45,4.5,7,1.5,4.4,6.5
09/03/2024,Augsburg,Heidenheim,H,1.85,4.2,3.5,1.85,3.9,3.8
09/03/2024,Bayern Munich,Mainz,H,1.25,7,10,1.22,6.5,11
09/03/2024,M'gladbach,FC Koln,D,1.83,4,4,1.8,3.9,4.2
09/03/2024,RB Leipzig,Darmstadt,H,1.14,8.5,15,1.12,9,17
09/03/2024,Werder Bremen,Dortmund,A,3.5,4.33,1.85,3.8,4,1.83
10/03/2024,Bochum,Freiburg,A,2.2,3.75,3,2.25,3.6,3
10/03/2024,Ein Frankfurt,Hoffenheim,H,2,4,3.3,1.95,3.9,3.4
10/03/2024,Leverkusen,Wolfsburg,H,1.33,5.75,8.5,1.3,5.5,9
15/03/2024,FC Koln,RB Leipzig,A,6.5,4.75,1.45,6.5,4.6,1.44
16/03/2024,Darmstadt,Bayern Munich,A,17,8,1.14,17,9,1.12
16/03/2024,Heidenheim,M'gladbach,D,2.45,3.6,2.7,2.4,3.7,2.7
16/03/2024,Mainz,Bochum,H,1.8,3.8,4.33,1.73,3.9,4.4
16/03/2024,Union Berlin,Werder Bremen,H,2.05,3.4,3.8,2,3.6,3.6
16/03/2024,Wolfsburg,Augsburg,A,2.05,3.5,3.5,2.05,3.7,3.3
16/03/2024,Hoffenheim,Stuttgart,A,3.8,4,1.83,3.7,4.2,1.83
17/03/2024,Freiburg,Leverkusen,A,6,4.33,1.53,5.5,4.33,1.55
17/03/2024,Dortmund,Ein Frankfurt,H,1.62,4.2,5,1.57,4.6,4.8
30/03/2024,Ein Frankfurt,Union Berlin,D,2,3.5,3.8,1.95,3.5,3.8
30/03/2024,Leverkusen,Hoffenheim,H,1.2,7.5,12,1.2,7,12
30/03/2024,M'gladbach,Freiburg,A,2.2,3.6,3.2,2.15,3.75,3
30/03/2024,RB Leipzig,Mainz,D,1.4,5.25,7.5,1.36,5,7.5
30/03/2024,Werder Bremen,Wolfsburg,A,2.88,3.5,2.4,2.75,3.6,2.38
30/03/2024,Bayern Munich,Dortmund,A,1.4,5.75,6,1.36,5.8,6.5
31/03/2024,Augsburg,FC Koln,D,1.75,4,4.5,1.75,3.9,4.33
31/03/2024,Stuttgart,Heidenheim,D,1.25,6,10,1.25,6.5,10
31/03/2024,Bochum,Darmstadt,D,1.62,4,5.25,1.62,4.2,5
05/04/2024,Ein Frankfurt,Werder Bremen,D,1.75,3.8,4.5,1.73,4,4.33
06/04/2024,FC Koln,Bochum,H,2.25,3.5,3.1,2.25,3.6,3
06/04/2024,Freiburg,RB Leipzig,A,4.75,4.33,1.65,4.5,4.33,1.65
06/04/2024,Heidenheim,Bayern Munich,H,6.5,6,1.36,7.5,5.8,1.33
06/04/2024,Mainz,Darmstadt,H,1.4,5,7.5,1.4,4.8,7.5
06/04/2024,Union Berlin,Leverkusen,A,5.75,4.33,1.55,5.8,4.2,1.53
06/04/2024,Dortmund,Stuttgart,A,2.25,4,2.8,2.2,4,2.8
07/04/2024,Hoffenheim,Augsburg,H,2.2,4,2.9,2.15,4,2.88
07/04/2024,Wolfsburg,M'gladbach,A,1.85,4,3.8,1.91,3.9,3.7
12/04/2024,Augsburg,Union Berlin,H,2.1,3.4,3.4,2.1,3.5,3.4
13/04/2024,Bayern Munich,FC Koln,H,1.22,7.5,11,1.18,7.5,12
13/04/2024,Bochum,Heidenheim,D,2.05,3.75,3.3,2.05,3.7,3.3
