Date,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,WHH,WHD,WHA
14/01/2024,Cadiz,Valencia,A,2.88,3,2.7,2.8,3,2.6
19/01/2024,Alaves,Cadiz,H,1.7,3.5,5.75,1.62,3.5,5.8
20/01/2024,Vallecano,Las Palmas,A,1.85,3.3,4.5,1.83,3.5,4.2
20/01/2024,Villarreal,Mallorca,D,2.05,3.5,3.6,2,3.5,3.4
20/01/2024,Valencia,Ath Bilbao,H,3.3,3.3,2.25,3.25,3.4,2.1
20/01/2024,Celta,Sociedad,A,3.25,3,2.4,3.1,3.1,2.38
21/01/2024,Osasuna,Getafe,H,2.15,3,4,2.1,3.2,3.5
21/01/2024,Real Madrid,Almeria,H,1.13,10,17,1.11,8.5,17
21/01/2024,Betis,Barcelona,A,4.33,3.8,1.8,4.2,3.8,1.75
21/01/2024,Girona,Sevilla,H,1.73,4,4.5,1.67,4,4.4
22/01/2024,Granada,Ath Madrid,A,4.75,3.8,1.7,4.4,3.9,1.7
26/01/2024,Almeria,Alaves,A,2.6,3.2,2.8,2.5,3.25,2.7
27/01/2024,Sociedad,Vallecano,D,1.67,3.75,5.5,1.6,3.7,5.5
27/01/2024,Las Palmas,Real Madrid,A,6.5,4.75,1.45,6.5,4.75,1.4
27/01/2024,Barcelona,Villarreal,A,1.36,5.5,8,1.29,5.8,8
27/01/2024,Mallorca,Betis,A,2.3,3.2,3.2,2.3,3.2,3
28/01/2024,Celta,Girona,A,2.8,3.4,2.5,2.62,3.6,2.38
28/01/2024,Cadiz,Ath Bilbao,D,5.5,3.4,1.73,5,3.6,1.67
28/01/2024,Sevilla,Osasuna,D,2,3.4,3.75,2,3.4,3.6
28/01/2024,Ath Madrid,Valencia,H,1.45,4.33,7,1.44,4.4,6.5
29/01/2024,Getafe,Granada,H,1.8,3.4,4.75,1.75,3.5,4.5
31/01/2024,Barcelona,Osasuna,H,1.33,5,10,1.29,5.5,8.5
31/01/2024,Ath Madrid,Vallecano,H,1.5,4.2,6.5,1.44,4.5,6
01/02/2024,Getafe,Real Madrid,A,6,4.2,1.55,5.8,4.2,1.5
02/02/2024,Ath Bilbao,Mallorca,H,1.53,3.9,7,1.5,3.9,6.5
03/02/2024,Valencia,Almeria,H,1.65,3.75,5.5,1.62,3.9,5
03/02/2024,Granada,Las Palmas,D,2.3,3.2,3.3,2.2,3.25,3.2
03/02/2024,Alaves,Barcelona,A,4.33,3.6,1.85,4,3.7,1.8
03/02/2024,Girona,Sociedad,D,2.1,3.4,3.5,2.05,3.5,3.3
04/02/2024,Villarreal,Cadiz,D,1.62,4,5.5,1.62,4,4.8
04/02/2024,Osasuna,Celta,A,2.38,3.1,3.3,2.25,3.2,3.1
04/02/2024,Betis,Getafe,D,1.91,3.4,4.2,1.85,3.4,4.2
